"Activity" "Subject" "MeanX" "MeanY" "MeanZ" "StdX" "StdY" "StdZ"
"STANDING" 9 0.282310057333333 -0.0200454954022222 -0.0952747481333333 -0.975741252444444 -0.938635759333333 -0.919295805777778
"WALKING" 1 0.27486626812983 -0.0181502805692427 -0.109248084893354 -0.297977235408362 -0.0115931356440031 -0.294659079364096
"WALKING" 2 0.276922402717042 -0.018057469273614 -0.108725464870418 -0.331845357906752 -0.0483716661682476 -0.258032283521543
"WALKING" 3 0.276010992439024 -0.0173941138506504 -0.105249982262602 -0.352978195121951 -0.124681034082927 -0.246348671739837
"WALKING" 4 0.278582015166667 -0.0148399475341667 -0.11140306485 -0.440829971333333 -0.0788267367683333 -0.586252806833333
"WALKING" 5 0.27784234625 -0.0172850317482679 -0.107741776464286 -0.294098534232143 0.0767484028053571 -0.45702143625
"WALKING" 6 0.283658868070175 -0.0168954189082456 -0.110303165877193 -0.296538717368421 0.164213884996491 -0.504324207192982
"WALKING" 7 0.275592961754386 -0.018653665345614 -0.110912234947368 -0.327243240701754 -0.0772618561052631 0.159631283261403
"WALKING" 8 0.27468631 -0.0186628865310417 -0.107252090833333 -0.173605736002083 0.380782052708333 -0.1420885318125
"WALKING" 9 0.278502842115385 -0.0180891971284423 -0.110820512307692 -0.238353562692308 -0.201696960826923 -0.0579636469030769
"WALKING_DOWNSTAIRS" 1 0.287848290836 -0.015681926937815 -0.107769898562756 0.124130123173742 0.05342127493036 -0.1657559183581
"WALKING_DOWNSTAIRS" 2 0.290229993020833 -0.0167519664941667 -0.105667278639583 0.0779811593236742 0.0961943150126136 -0.196379464485227
"WALKING_DOWNSTAIRS" 3 0.287266404162162 -0.018284641170991 -0.107112586674775 -0.0576112787567568 -0.0298618227603604 -0.281269052495495
"WALKING_DOWNSTAIRS" 4 0.279965329555556 -0.00980200850666667 -0.1067775246 0.0111935496222222 -0.21859832499 -0.479185977111111
"WALKING_DOWNSTAIRS" 5 0.29354392712766 -0.00850107533191489 -0.100319930659574 0.275046110468085 0.0907630761042553 -0.325891435319149
"WALKING_DOWNSTAIRS" 6 0.277045258145833 -0.019536840063125 -0.107209356208333 0.383681639791667 0.360164958768542 -0.320204232520417
"WALKING_DOWNSTAIRS" 7 0.28030708 -0.0166332372978723 -0.096938308587234 0.0660815600978723 -0.138179072734043 -0.0636402447755319
"WALKING_DOWNSTAIRS" 8 0.283484089210526 -0.0211058674973684 -0.107598135394737 0.0241393473736842 0.343826273105263 0.1337170395
"WALKING_DOWNSTAIRS" 9 0.295923445 -0.0203994269075476 -0.0910278793952381 0.213392270547619 -0.208310705504762 -0.00771530035714285
"WALKING_UPSTAIRS" 1 0.2609497352 -0.0237442544181923 -0.11675033986125 -0.248402957224339 -0.00605334066625 -0.141030802427679
"WALKING_UPSTAIRS" 2 0.262355519833743 -0.0264837051 -0.124299560861863 -0.231883170413761 -0.0202349296428295 -0.18443551687645
"WALKING_UPSTAIRS" 3 0.266374106919355 -0.0286997706805645 -0.117735193856452 -0.332718336370968 -0.0612029713354839 -0.162854672683226
"WALKING_UPSTAIRS" 4 0.270876696730769 -0.0319804295729615 -0.114219455519231 -0.204933042903846 -0.0666899105180769 -0.372137777692308
"WALKING_UPSTAIRS" 5 0.268459469914894 -0.0325269755153191 -0.107471453914894 -0.0457237779851064 0.185022459476596 -0.308938978787234
"WALKING_UPSTAIRS" 6 0.268229355098039 -0.0272425385070588 -0.122082438784314 -0.0501350188513725 0.189276117327451 -0.353519514896078
"WALKING_UPSTAIRS" 7 0.248706923078431 -0.0275639005607843 -0.143769688803922 -0.29487297445098 -0.32616002254902 -0.145665025639216
"WALKING_UPSTAIRS" 8 0.258880152048781 -0.0282415136341463 -0.11512211995122 -0.171712174634146 0.348768733170732 0.121187278790244
"WALKING_UPSTAIRS" 9 0.262436475714286 -0.0195101099975714 -0.125219003959184 -0.36144437755102 -0.302206203816327 -0.253434083542857
